ID,lat,lng,name_of_site
ee528740-2ecb-4aa0-b3d7-3a4b3318d06b,-30.601822,29.96749,Ikusasalentsha Creche
9f1912ce-8ae3-4164-8d63-b87f6047613b,-30.599342,29.74815,Indabuko Creche
c1778af2-fe4c-40f4-ab6c-a52710b82fd0,-30.653854,29.850595,Khanyisani Creche
bbecc815-b631-4f48-b8f3-f231334c08ab,-30.767594,29.773495,Khayalethu 2
d198717f-41d4-4c9d-af0b-ec0ff48a19ff,-30.654219,29.849898,Khayalethu No1
6e9f3bae-654c-4582-8a29-901fd17aaf71,-30.610334,29.976415,Kusaselihle Creche
99500327-71bd-48ff-9c38-b248a48b2e21,-30.653854,29.850595,Lingelethu
ec320f0c-4ec8-4459-b001-cacffa3ccd1c,-30.746577,30.006782,Little Stars Play Centre
600978a6-3de5-402f-868e-10726865da4a,-30.567393,29.818489,Magawana Creche
9647ef38-3087-4b38-9fc6-979ef54fc6f7,-30.654267,29.849764,Mkhoba Creche
c78fc6aa-3b77-494b-8172-08b57f62295d,-30.456918,-30.456930.150364,Mzomuhle Creche
bbda255e-f1aa-405e-836b-84f05570bc4f,-30.610288,-30.610229.976457,Nkonzinkosi Creche
30ebca09-66d2-4340-9cd2-3fb088455848,-30.601807,29.967475,Nobantu Creche
9a7526eb-569e-4072-981b-1e9fb1f7d394,-30.353742,29.920714,Ntokizweni Creche
43b358f2-56e4-4b61-a46e-a41ecfdf3827,-30.654267,29.849764,Philani Creche
5d9ff351-592d-489c-ad97-24006baa8e1b,-30.74354,30.240122,Qhubekane
18da9be1-15a9-4494-aaa3-94bacebffe63,-30.610288,-30.610229.976457,Senzokuhle Creche
d788f763-0481-498f-94d7-21bfba2dbffe,-30.663223,29.907427,Sibonelo Creche
3cc146af-7636-4675-a463-1fe18b9f7808,-30.601807,29.967475,Simunye Creche
4ed153f9-038f-4711-a9b6-064f4bdc5c77,-30.456686,30.150369,Sinamuva Creche
00959d12-e629-4991-a8f1-43ddd1658cd7,-30.897656,29.967577,Sinothando Creche
d9354e21-cb75-4a49-b10a-eb7de4dbc37b,-30.610317,29.976416,Sithokozile Creche
29e50ddc-5156-4f37-a3a3-63c3d4d84032,-30.610336,29.976434,Siyavuma Creche
948a3399-1601-4710-a9bf-e371685826cc,-30.658212,29.853596,Sonzaba Creche
8d6d19b5-404a-4187-8b42-d411ab3dcf89,-30.599934,29.748324,Sweet Harmony
c6d7f674-7369-44c2-bdaf-d7e327c5adae,-30.610317,29.976416,Thandanani Creche
6dc6d5c4-0a26-4f49-9cf9-768466a49d24,-30.728621,29.544643,Thandanani No1
fd4e2a7c-2111-478b-8af4-e60106c45fde,-30.456686,30.150369,Thembeka Creche
6e16af48-d8c4-4f39-a3af-80ddbb05f734,-30.601971,29.967635,Thembelenkosi Creche
42259d38-186b-4681-ae51-66e5f3918ea9,-30.610288,-30.610229.976457,Tholimfundo Creche
d1c53577-d2af-416b-9952-04eda578b948,-30.610317,29.976416,Ukukhanyakufikile
c00977cd-7ab8-4eb1-980e-e1a5b6323946,-30.610299,29.976389,Vulindlela Creche
a02160a0-b8fc-4ee6-98c4-83ea466a4022,-30.579315,29.879479,Winterton Creche
9d3fabcf-a215-417e-9bdb-8bcea0f62041,-30.601987,29.967649,Xambu Creche
d2c86c37-6751-45c3-911e-c5bff498cf37,-30.83531,29.777384,Zamokuhle Creche
744ed370-ac7b-48e4-a770-3ae0a83aefaf,-30.610299,29.976389,Zilungisele Creche
d5afe055-2da1-4fc6-bf42-735e06fd367d,-30.657508,-30.657529.853472,Zizamele Creche
f1ca7558-94c5-45b9-bf23-0c016618743c,-30.519863,30.596458,Cothoza Creche
ae26ece4-8221-4e17-a60d-4452499c158e,-30.492465,30.430807,Ekujabulei Creche
871c9134-6741-4915-bca5-88d4a392ca63,-30.504102,30.57671,Enkanyisweni Creche
42153546-5917-42fe-bff9-d7d1b8cd784a,,,Entokozweni Educare Centre
fd6a39a2-c523-47bb-96b2-d35f27b0f1c4,-30.529595,30.168002,Hlwathika Creche
58d5adaa-36f6-4797-b170-88fef94bc5f9,-30.534798,-30.534730.404810,I Mpucuko Creche
66f96b6e-f00f-45d0-ab53-f03e3ce7c08e,,,Ireland Creche
2345bb5c-6e16-4da0-a7bf-94bfcbad9ae0,-30.51517,30.191093,Johnsdale Creche
c0a619a2-77be-4354-bcdc-3a83445b624e,-30.507005,30.601585,Khulamntwana Creche
1d295318-db7b-4297-a450-755d0e100458,-30.349902,30.487243,Litte Pony Creach
2ed0efff-ebfa-4f53-993f-4071441c48a1,-30.585297,30.542942,Little Angel Pre School
d062af6e-250c-44ee-8e02-c6ec4b5448b9,-30.514453,30.38359,Lucas Memorial Day Care Ccentre
dfec2f8b-f3d6-4907-a7ba-65053c9a1c88,-30.446365,30.332205,Mabhele C P School
fcc99555-f4d7-4ccb-b1ce-369912da7982,-30.438708,-30.438730.146998,Magugu Creche
